Snapshot Date,Item Name,Category,Quantity,Unit,Unit Cost,Total Value
2024-01-15,Coffee Beans (House),Beverages,25,kg,18.50,462.50
2024-01-15,Milk (Full Cream),Dairy,40,L,1.80,72.00
2024-01-15,Eggs (Free Range),Dairy,300,ea,0.45,135.00
2024-01-15,Bread (Sourdough),Bakery,30,loaf,4.50,135.00
2024-01-15,Bacon,Meat,15,kg,16.00,240.00
2024-01-15,Chicken Breast,Meat,20,kg,12.50,250.00
2024-01-15,Salmon Fillet,Seafood,10,kg,28.00,280.00
2024-01-15,Mixed Salad Greens,Produce,8,kg,8.00,64.00
2024-01-15,Tomatoes,Produce,12,kg,5.50,66.00
2024-01-15,Avocado,Produce,40,ea,2.20,88.00
2024-01-15,Olive Oil (Extra Virgin),Pantry,6,L,15.00,90.00
2024-01-15,Balsamic Vinegar,Pantry,4,L,12.00,48.00
2024-01-15,Sugar,Pantry,10,kg,2.50,25.00
2024-01-15,Flour (Plain),Pantry,20,kg,1.80,36.00
2024-01-15,Wine (House Red),Beverages,24,bottle,8.50,204.00
2024-01-15,Wine (House White),Beverages,24,bottle,8.00,192.00
